review_id,text,rating,sentiment,product_category,text_clean_classique,text_clean_light
1,Great value for money,4,positive,fashion,great value money,great value for money
2,"I love it, will definitely buy again",5,positive,home,love definitely buy,"i love it, will definitely buy again"
3,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
4,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
5,"Terrible product, broke after one use",1,negative,home,terrible product broke one use,"terrible product, broke after one use"
6,It works as expected,3,neutral,home,work expected,it works as expected
7,Decent quality for the price,3,neutral,electronics,decent quality price,decent quality for the price
8,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
9,Very disappointed with the quality,2,negative,electronics,disappointed quality,very disappointed with the quality
10,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
11,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
12,Very disappointed with the quality,2,negative,fashion,disappointed quality,very disappointed with the quality
13,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
14,It works as expected,3,neutral,electronics,work expected,it works as expected
15,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
16,Poor performance and bad design,1,negative,fashion,poor performance bad design,poor performance and bad design
17,"I love it, will definitely buy again",4,positive,fashion,love definitely buy,"i love it, will definitely buy again"
18,"Terrible product, broke after one use",1,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
19,Customer service was awful,1,negative,fashion,customer service awful,customer service was awful
20,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
21,It works as expected,3,neutral,electronics,work expected,it works as expected
22,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
23,"Excellent product, very satisfied with the quality",5,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
24,Great value for money,4,positive,electronics,great value money,great value for money
25,Works perfectly and arrived quickly,4,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
26,"Waste of money, not recommended",1,negative,fashion,waste money recommended,"waste of money, not recommended"
27,"I love it, will definitely buy again",4,positive,fashion,love definitely buy,"i love it, will definitely buy again"
28,Poor performance and bad design,1,negative,fashion,poor performance bad design,poor performance and bad design
29,Poor performance and bad design,2,negative,electronics,poor performance bad design,poor performance and bad design
30,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
31,"Terrible product, broke after one use",1,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
32,"Amazing experience, highly recommend this",4,positive,home,amazing experience highly recommend,"amazing experience, highly recommend this"
33,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
34,Customer service was awful,1,negative,electronics,customer service awful,customer service was awful
35,Not bad but not great either,3,neutral,fashion,bad great either,not bad but not great either
36,Poor performance and bad design,1,negative,home,poor performance bad design,poor performance and bad design
37,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
38,"Average product, nothing special",3,neutral,fashion,average product nothing special,"average product, nothing special"
39,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
40,Works perfectly and arrived quickly,5,positive,fashion,work perfectly arrived quickly,works perfectly and arrived quickly
41,Very disappointed with the quality,1,negative,fashion,disappointed quality,very disappointed with the quality
42,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
43,It works as expected,3,neutral,electronics,work expected,it works as expected
44,Great value for money,4,positive,fashion,great value money,great value for money
45,Not bad but not great either,3,neutral,electronics,bad great either,not bad but not great either
46,Customer service was awful,2,negative,electronics,customer service awful,customer service was awful
47,"Waste of money, not recommended",2,negative,fashion,waste money recommended,"waste of money, not recommended"
48,Great value for money,4,positive,home,great value money,great value for money
49,Works perfectly and arrived quickly,4,positive,fashion,work perfectly arrived quickly,works perfectly and arrived quickly
50,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
51,Customer service was awful,2,negative,home,customer service awful,customer service was awful
52,Works perfectly and arrived quickly,5,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
53,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
54,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
55,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
56,"Amazing experience, highly recommend this",4,positive,electronics,amazing experience highly recommend,"amazing experience, highly recommend this"
57,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
58,"Terrible product, broke after one use",2,negative,home,terrible product broke one use,"terrible product, broke after one use"
59,"Terrible product, broke after one use",2,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
60,"Average product, nothing special",3,neutral,fashion,average product nothing special,"average product, nothing special"
61,"Terrible product, broke after one use",2,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
62,Very disappointed with the quality,2,negative,home,disappointed quality,very disappointed with the quality
63,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
64,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
65,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
66,Poor performance and bad design,1,negative,home,poor performance bad design,poor performance and bad design
67,"Amazing experience, highly recommend this",5,positive,fashion,amazing experience highly recommend,"amazing experience, highly recommend this"
68,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
69,Customer service was awful,1,negative,home,customer service awful,customer service was awful
70,Works perfectly and arrived quickly,4,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
71,Customer service was awful,2,negative,home,customer service awful,customer service was awful
72,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
73,It works as expected,3,neutral,fashion,work expected,it works as expected
74,Customer service was awful,2,negative,electronics,customer service awful,customer service was awful
75,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
76,It works as expected,3,neutral,electronics,work expected,it works as expected
77,It works as expected,3,neutral,electronics,work expected,it works as expected
78,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
79,Very disappointed with the quality,1,negative,fashion,disappointed quality,very disappointed with the quality
80,Poor performance and bad design,2,negative,fashion,poor performance bad design,poor performance and bad design
81,"Amazing experience, highly recommend this",4,positive,electronics,amazing experience highly recommend,"amazing experience, highly recommend this"
82,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
83,It works as expected,3,neutral,fashion,work expected,it works as expected
84,"Waste of money, not recommended",1,negative,electronics,waste money recommended,"waste of money, not recommended"
85,"Terrible product, broke after one use",1,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
86,"I love it, will definitely buy again",5,positive,home,love definitely buy,"i love it, will definitely buy again"
87,Great value for money,4,positive,fashion,great value money,great value for money
88,Great value for money,4,positive,home,great value money,great value for money
89,"Waste of money, not recommended",2,negative,fashion,waste money recommended,"waste of money, not recommended"
90,"Excellent product, very satisfied with the quality",5,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
91,Great value for money,5,positive,electronics,great value money,great value for money
92,"I love it, will definitely buy again",5,positive,electronics,love definitely buy,"i love it, will definitely buy again"
93,"Amazing experience, highly recommend this",4,positive,fashion,amazing experience highly recommend,"amazing experience, highly recommend this"
94,Works perfectly and arrived quickly,4,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
95,"Terrible product, broke after one use",1,negative,home,terrible product broke one use,"terrible product, broke after one use"
96,Works perfectly and arrived quickly,4,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
97,"Terrible product, broke after one use",1,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
98,"I love it, will definitely buy again",5,positive,home,love definitely buy,"i love it, will definitely buy again"
99,Very disappointed with the quality,1,negative,fashion,disappointed quality,very disappointed with the quality
100,"Average product, nothing special",3,neutral,electronics,average product nothing special,"average product, nothing special"
101,Works perfectly and arrived quickly,4,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
102,"Waste of money, not recommended",2,negative,home,waste money recommended,"waste of money, not recommended"
103,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
104,"I love it, will definitely buy again",4,positive,fashion,love definitely buy,"i love it, will definitely buy again"
105,Very disappointed with the quality,1,negative,electronics,disappointed quality,very disappointed with the quality
106,Customer service was awful,2,negative,fashion,customer service awful,customer service was awful
107,Poor performance and bad design,1,negative,fashion,poor performance bad design,poor performance and bad design
108,It works as expected,3,neutral,home,work expected,it works as expected
109,"Terrible product, broke after one use",1,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
110,Customer service was awful,2,negative,fashion,customer service awful,customer service was awful
111,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
112,Poor performance and bad design,2,negative,electronics,poor performance bad design,poor performance and bad design
113,"I love it, will definitely buy again",5,positive,electronics,love definitely buy,"i love it, will definitely buy again"
114,Poor performance and bad design,2,negative,electronics,poor performance bad design,poor performance and bad design
115,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
116,It works as expected,3,neutral,fashion,work expected,it works as expected
117,"Amazing experience, highly recommend this",5,positive,electronics,amazing experience highly recommend,"amazing experience, highly recommend this"
118,"Average product, nothing special",3,neutral,electronics,average product nothing special,"average product, nothing special"
119,"Terrible product, broke after one use",2,negative,home,terrible product broke one use,"terrible product, broke after one use"
120,"Excellent product, very satisfied with the quality",4,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
121,Poor performance and bad design,2,negative,home,poor performance bad design,poor performance and bad design
122,"Waste of money, not recommended",2,negative,electronics,waste money recommended,"waste of money, not recommended"
123,Very disappointed with the quality,2,negative,electronics,disappointed quality,very disappointed with the quality
124,"Waste of money, not recommended",2,negative,home,waste money recommended,"waste of money, not recommended"
125,"It's okay, does the job",3,neutral,home,okay job,"it's okay, does the job"
126,"Amazing experience, highly recommend this",4,positive,home,amazing experience highly recommend,"amazing experience, highly recommend this"
127,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
128,"Average product, nothing special",3,neutral,fashion,average product nothing special,"average product, nothing special"
129,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
130,Poor performance and bad design,2,negative,home,poor performance bad design,poor performance and bad design
131,Great value for money,4,positive,home,great value money,great value for money
132,Not bad but not great either,3,neutral,electronics,bad great either,not bad but not great either
133,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
134,"Amazing experience, highly recommend this",5,positive,fashion,amazing experience highly recommend,"amazing experience, highly recommend this"
135,It works as expected,3,neutral,fashion,work expected,it works as expected
136,"It's okay, does the job",3,neutral,home,okay job,"it's okay, does the job"
137,Great value for money,5,positive,electronics,great value money,great value for money
138,Not bad but not great either,3,neutral,electronics,bad great either,not bad but not great either
139,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
140,Very disappointed with the quality,2,negative,electronics,disappointed quality,very disappointed with the quality
141,Great value for money,5,positive,home,great value money,great value for money
142,Customer service was awful,2,negative,home,customer service awful,customer service was awful
143,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
144,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
145,Great value for money,4,positive,electronics,great value money,great value for money
146,"It's okay, does the job",3,neutral,home,okay job,"it's okay, does the job"
147,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
148,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
149,"Terrible product, broke after one use",2,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
150,"I love it, will definitely buy again",5,positive,electronics,love definitely buy,"i love it, will definitely buy again"
151,It works as expected,3,neutral,home,work expected,it works as expected
152,Works perfectly and arrived quickly,4,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
153,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
154,Customer service was awful,1,negative,electronics,customer service awful,customer service was awful
155,It works as expected,3,neutral,fashion,work expected,it works as expected
156,Customer service was awful,1,negative,fashion,customer service awful,customer service was awful
157,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
158,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
159,Not bad but not great either,3,neutral,fashion,bad great either,not bad but not great either
160,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
161,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
162,Customer service was awful,2,negative,electronics,customer service awful,customer service was awful
163,"Excellent product, very satisfied with the quality",4,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
164,"Excellent product, very satisfied with the quality",5,positive,home,excellent product satisfied quality,"excellent product, very satisfied with the quality"
165,It works as expected,3,neutral,home,work expected,it works as expected
166,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
167,"It's okay, does the job",3,neutral,home,okay job,"it's okay, does the job"
168,It works as expected,3,neutral,fashion,work expected,it works as expected
169,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
170,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
171,Customer service was awful,1,negative,electronics,customer service awful,customer service was awful
172,"Excellent product, very satisfied with the quality",4,positive,home,excellent product satisfied quality,"excellent product, very satisfied with the quality"
173,"Amazing experience, highly recommend this",5,positive,fashion,amazing experience highly recommend,"amazing experience, highly recommend this"
174,Very disappointed with the quality,2,negative,fashion,disappointed quality,very disappointed with the quality
175,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
176,"Terrible product, broke after one use",2,negative,home,terrible product broke one use,"terrible product, broke after one use"
177,"Excellent product, very satisfied with the quality",4,positive,fashion,excellent product satisfied quality,"excellent product, very satisfied with the quality"
178,Works perfectly and arrived quickly,4,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
179,"Waste of money, not recommended",2,negative,home,waste money recommended,"waste of money, not recommended"
180,It works as expected,3,neutral,electronics,work expected,it works as expected
181,Decent quality for the price,3,neutral,electronics,decent quality price,decent quality for the price
182,"It's okay, does the job",3,neutral,home,okay job,"it's okay, does the job"
183,Great value for money,5,positive,electronics,great value money,great value for money
184,It works as expected,3,neutral,electronics,work expected,it works as expected
185,It works as expected,3,neutral,home,work expected,it works as expected
186,"Terrible product, broke after one use",2,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
187,"Amazing experience, highly recommend this",4,positive,electronics,amazing experience highly recommend,"amazing experience, highly recommend this"
188,"Amazing experience, highly recommend this",5,positive,home,amazing experience highly recommend,"amazing experience, highly recommend this"
189,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
190,"Terrible product, broke after one use",2,negative,fashion,terrible product broke one use,"terrible product, broke after one use"
191,"Average product, nothing special",3,neutral,electronics,average product nothing special,"average product, nothing special"
192,"Waste of money, not recommended",1,negative,electronics,waste money recommended,"waste of money, not recommended"
193,"Excellent product, very satisfied with the quality",4,positive,home,excellent product satisfied quality,"excellent product, very satisfied with the quality"
194,Poor performance and bad design,2,negative,fashion,poor performance bad design,poor performance and bad design
195,Very disappointed with the quality,1,negative,home,disappointed quality,very disappointed with the quality
196,"Terrible product, broke after one use",2,negative,home,terrible product broke one use,"terrible product, broke after one use"
197,Works perfectly and arrived quickly,5,positive,home,work perfectly arrived quickly,works perfectly and arrived quickly
198,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
199,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
200,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
201,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
202,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
203,Customer service was awful,2,negative,electronics,customer service awful,customer service was awful
204,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
205,Customer service was awful,1,negative,fashion,customer service awful,customer service was awful
206,"Terrible product, broke after one use",1,negative,home,terrible product broke one use,"terrible product, broke after one use"
207,It works as expected,3,neutral,fashion,work expected,it works as expected
208,Very disappointed with the quality,1,negative,electronics,disappointed quality,very disappointed with the quality
209,"Amazing experience, highly recommend this",4,positive,electronics,amazing experience highly recommend,"amazing experience, highly recommend this"
210,Very disappointed with the quality,1,negative,electronics,disappointed quality,very disappointed with the quality
211,"Amazing experience, highly recommend this",5,positive,home,amazing experience highly recommend,"amazing experience, highly recommend this"
212,"Amazing experience, highly recommend this",5,positive,home,amazing experience highly recommend,"amazing experience, highly recommend this"
213,Decent quality for the price,3,neutral,fashion,decent quality price,decent quality for the price
214,"It's okay, does the job",3,neutral,home,okay job,"it's okay, does the job"
215,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
216,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
217,Poor performance and bad design,1,negative,electronics,poor performance bad design,poor performance and bad design
218,Poor performance and bad design,2,negative,home,poor performance bad design,poor performance and bad design
219,"Average product, nothing special",3,neutral,fashion,average product nothing special,"average product, nothing special"
220,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
221,"Excellent product, very satisfied with the quality",4,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
222,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
223,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
224,"It's okay, does the job",3,neutral,electronics,okay job,"it's okay, does the job"
225,Very disappointed with the quality,2,negative,fashion,disappointed quality,very disappointed with the quality
226,Not bad but not great either,3,neutral,home,bad great either,not bad but not great either
227,"Waste of money, not recommended",2,negative,home,waste money recommended,"waste of money, not recommended"
228,Customer service was awful,1,negative,home,customer service awful,customer service was awful
229,"Excellent product, very satisfied with the quality",5,positive,electronics,excellent product satisfied quality,"excellent product, very satisfied with the quality"
230,Very disappointed with the quality,2,negative,fashion,disappointed quality,very disappointed with the quality
231,Poor performance and bad design,2,negative,electronics,poor performance bad design,poor performance and bad design
232,Not bad but not great either,3,neutral,electronics,bad great either,not bad but not great either
233,Great value for money,5,positive,electronics,great value money,great value for money
234,Customer service was awful,2,negative,home,customer service awful,customer service was awful
235,"I love it, will definitely buy again",4,positive,home,love definitely buy,"i love it, will definitely buy again"
236,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
237,Poor performance and bad design,2,negative,fashion,poor performance bad design,poor performance and bad design
238,Very disappointed with the quality,2,negative,electronics,disappointed quality,very disappointed with the quality
239,Decent quality for the price,3,neutral,home,decent quality price,decent quality for the price
240,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
241,Very disappointed with the quality,1,negative,home,disappointed quality,very disappointed with the quality
242,Very disappointed with the quality,1,negative,electronics,disappointed quality,very disappointed with the quality
243,"Terrible product, broke after one use",2,negative,electronics,terrible product broke one use,"terrible product, broke after one use"
244,"Waste of money, not recommended",2,negative,home,waste money recommended,"waste of money, not recommended"
245,"It's okay, does the job",3,neutral,fashion,okay job,"it's okay, does the job"
246,It works as expected,3,neutral,home,work expected,it works as expected
247,"Average product, nothing special",3,neutral,home,average product nothing special,"average product, nothing special"
248,Works perfectly and arrived quickly,4,positive,electronics,work perfectly arrived quickly,works perfectly and arrived quickly
249,"I love it, will definitely buy again",4,positive,electronics,love definitely buy,"i love it, will definitely buy again"
250,"Excellent product, very satisfied with the quality",4,positive,home,excellent product satisfied quality,"excellent product, very satisfied with the quality"
251,Poor performance and bad design,1,negative,fashion,poor performance bad design,poor performance and bad design
252,Great value for money,4,positive,home,great value money,great value for money
